COD. ARTIC.;NOMBRE;STOCK;LISTA 1;LISTA 2;LISTA 3;LISTA 4;CATEGORIA
227;"NB BANGHO MAX 15"" L5 I7 8GB SSD 480GB";0,0000;195585,00;182546,00;169507,00;156468,00;NOTEBOOK
228;MICRO INTEL CELERON G4930 3.2GHZ 1151;0,0000;7823,40;7301,84;6780,28;8866,52;PROCESADOR
229;"NB ASUS X515 15"" I5 8GB, SSD 256GB  ";0,0000;156468,00;146036,80;135605,60;125174,40;NOTEBOOK
230;"NB ACER NITRO5 15.6"" I5-CI510300H 8GB 256SSD GTX16";0,0000;211231,80;197149,68;183067,56;168985,44;NOTEBOOK
231;NB LENOVO E15 I7-1165G7 8GB 256GB;0,0000;210253,88;196236,95;182220,03;168203,10;NOTEBOOK
232;NB LENOVO IP5 I5-1135G7 16GB 256SSD W10H;0,0000;228834,45;213578,82;198323,19;183067,56;NOTEBOOK
233;"NB LENOVO IDEAPAD 3 14"" I5-10210U 8GB 256SSD W10H";0,0000;138865,35;129607,66;120349,97;111092,28;NOTEBOOK
234;"NB LENOVO V15-ADA 15.6"" RYZEN 3 PRO 8GB SSD 256GB ";0,0000;100726,28;94011,19;87296,11;80581,02;NOTEBOOK
236;TABLETA WACOM INTUOS SMALL NEGRA;0,0000;13495,37;12595,67;11695,98;10796,29;TABLET
237;TABLETA WACOM INTUOS MEDIUM BLUETOOTH NEGRA;0,0000;41072,85;38334,66;35596,47;32858,28;TABLET
239;TABLETA WACOM INTUOS PRO SMALL;0,0000;47331,57;44176,13;41020,69;37865,26;TABLET
240;"TABLET PERFORMANCE 7"" A23 4CORE 1GB + 16GB + FUNDA";200,000;10170,42;9492,39;8814,36;8136,34;TABLET
241;E-BOOK AMAZON KINDLE 10GEN CON LUZ TACTIL WIFI;0,0000;27381,90;25556,44;23730,98;21905,52;TABLET
243;TECLADO GENIUS KB-125 PS2 BLACK;20,000;1263,48;1114,83;966,19;1486,45;TECLADO
244;TECLADO LOGITECH K120 USB;20,000;1369,10;1277,82;1186,55;1095,28;TECLADO
246;COMBO GENIUS SMART TyM KM-200 USB;0,0000;1994,97;1877,62;1525,56;1408,21;TECLADO
247;TECLADO HYPERX ALLOY FPS KB1RD1 CHERRY MX RED;0,0000;15959,74;15020,93;12204,50;18776,16;TECLADO
249;TECLADO XTECH XTK-160S USB MULTIMEDIA;10,000;775,82;730,18;593,27;912,73;TECLADO
250;Apliques Para Teclado Braille;-10,000;4302,87;4016,01;3729,15;3442,30;TECLADO
251;TECLADO GENIUS SLIMSTAR 230 BLANCO USB;80,000;1466,89;1369,10;1271,30;1173,51;TECLADO
253;SCANNER BROTHER ADS-2800W 40 PPM DUPLEX WIFI;0,0000;113439,30;105876,68;98314,06;90751,44;IMPRESORA TINTA
254;COMBO XTECH XTK-301S TECLADO Y MOUSE USB MULTIMEDI;40,000;1369,10;1277,82;1186,55;1095,28;TECLADO
256;COMBO LOGITECH MK120 (T Y M)  USB;0,0000;1955,85;1825,46;1695,07;1564,68;TECLADO
258;TECLADO HYPERX ALLOY FPS PRO KB4RD1 CHERRY MX RED;0,0000;12634,79;11891,57;9661,90;14864,46;TECLADO
260;TECLADO DINAX NUMERICO USB;40,000;1773,30;1668,99;1564,68;1356,06;TECLADO
262;"TABLET AMAZON FIRE 7"" 1GB+16GB FIRE OS ";40,000;12126,27;11317,85;10509,43;9701,02;TECLADO
265;COMBO GTC CBG-012 T+M+P INALAMBRICO;240,000;2659,96;2503,49;2347,02;2034,08;TECLADO
266;COMBO GENIUS KMS U130 SPEAKER USB (T, M Y P);0,0000;1773,30;1564,68;1356,06;2086,24;TECLADO
267;TECLADO LOGITECH K380 BLUETOOTH ;0,0000;3911,70;3650,92;3390,14;3129,36;TECLADO
268;TECLADO LOGITECH K400 PLUS WIRELESS TOUCH;70,000;4302,87;4016,01;3729,15;3442,30;TECLADO
269;TECLADO LOGITECH K600 TV KEYBOARD BLACK;10,000;6258,72;5841,47;5424,22;5006,98;TECLADO
270;MOUSE XTECH XTM-195 USB 1000DPI ;0,0000;364,09;342,67;278,42;428,34;MOUSE
271;COMBO GENIUS KM-8100 (T Y M) WIRELESS;20,000;2992,45;2640,40;2288,34;2112,32;TECLADO
272;TECLADO LOGITECH G910 ORION SPARK US GAMER;0,0000;21514,35;20080,06;18645,77;17211,48;TECLADO
273;TECLADO HYPERX ALLOY CORE RGB GAMING MEMBRANA;20,000;9753,17;9179,46;7458,31;11474,32;TECLADO
274;TECLADO SEISA TECLADO RETROILUMINADO;10,000;643,32;584,85;506,87;779,80;TECLADO
275;KEYCAPS REDRAGON  A103 (CUALQUIER COLOR);30,000;1070,85;999,46;928,07;856,68;TECLADO
276;TECLADO REDRAGON K589 SHRAPNEL RGB ES;10,000;9192,50;8579,66;7966,83;7354,00;TECLADO
277;TECLADO REDRAGON K502 KARURA RETROILUMUNADO;0,0000;3911,70;3650,92;3390,14;3129,36;TECLADO
279;TECLADO REDRAGON K568 RGB DARK AVENGER;10,000;8018,99;7484,39;6949,79;6415,19;TECLADO
280;TECLADO REDRAGON K550 YAMA BLANCO;30,000;13690,95;12778,22;11865,49;10952,76;TECLADO
282;TECLADO REDRAGON K551 MITRA RETROILUMINADO RGB MEC;20,000;10757,18;10040,03;9322,89;8605,74;TECLADO
